applicant_id,age,gender,region,education,employment,employment_years,monthly_income,loan_amount,loan_duration,interest_rate,loan_purpose,credit_score,dependents,previous_loans,repayment_history,collateral,debt_to_income_ratio,loan_status
100038,24,Female,South Asia,Postgraduate,Farmer,0,44932,38420,12,26.13,Agriculture,717,4,1,Average,No,0.071,0
100039,37,Male,South Asia,Secondary,Self-employed,20,23122,119369,24,25.34,Education,428,3,1,Good,No,0.43,0
100040,45,Female,Southeast Asia,Primary,Salaried,8,33104,59058,6,14.37,Medical,542,4,2,Good,No,0.149,0
100041,28,Female,Latin America,Secondary,Self-employed,8,48096,88690,36,16.22,Business,846,2,4,Average,Yes,0.154,0
100042,61,Female,Southeast Asia,Graduate,Salaried,8,44556,103810,12,13.22,Business,433,3,0,Good,No,0.194,0
100043,47,Female,Southeast Asia,Primary,Small Business,10,33284,44279,24,22.21,Housing,608,2,5,Average,No,0.111,0
100044,51,Female,Sub-Saharan Africa,Secondary,Small Business,13,30002,71880,24,22.66,Education,551,0,0,Average,No,0.2,1
100045,28,Male,Southeast Asia,Primary,Small Business,19,19003,49133,6,27.84,Medical,375,2,2,Good,No,0.215,0
100046,45,Female,Southeast Asia,Postgraduate,Small Business,28,24478,112194,24,20.17,Housing,748,0,3,Average,Yes,0.382,0
100047,29,Female,South Asia,Graduate,Self-employed,29,29163,27533,6,14.69,Medical,323,5,1,Average,No,0.079,0
100048,62,Male,Sub-Saharan Africa,Graduate,Salaried,1,9722,116173,36,13.24,Education,841,0,3,Good,No,0.996,0
100049,64,Female,Southeast Asia,Postgraduate,Small Business,24,10108,118828,18,14.34,Business,379,4,2,Average,No,0.98,1
100050,63,Female,Southeast Asia,Postgraduate,Small Business,3,13948,39169,6,18.74,Education,605,1,5,Good,No,0.234,0
100051,21,Female,South Asia,Graduate,Farmer,27,35366,72911,12,22.51,Housing,465,2,2,Average,Yes,0.172,0
100052,56,Female,Sub-Saharan Africa,Postgraduate,Self-employed,27,44094,121138,18,18.24,Housing,822,3,4,Good,No,0.229,0
100053,50,Male,Sub-Saharan Africa,Secondary,Salaried,14,21469,130641,18,22.28,Agriculture,400,5,3,Average,No,0.507,1
100054,34,Male,South Asia,Primary,Small Business,19,48231,8072,12,16.27,Medical,545,1,0,Good,Yes,0.014,0
100055,62,Male,Southeast Asia,Postgraduate,Farmer,23,42111,66627,18,13.81,Agriculture,395,0,0,Good,Yes,0.132,0
100056,24,Female,Sub-Saharan Africa,Primary,Salaried,21,29500,26838,18,16.09,Housing,550,0,0,Good,No,0.076,1
100057,46,Male,South Asia,Graduate,Self-employed,7,21826,148807,12,15.89,Business,359,3,5,Average,No,0.568,1
100058,34,Female,Sub-Saharan Africa,Primary,Farmer,19,30594,64746,12,14.26,Housing,749,2,2,Good,Yes,0.176,0
100059,60,Male,South Asia,Graduate,Farmer,2,34809,71596,6,17.32,Housing,593,2,0,Good,Yes,0.171,1
100060,56,Female,Southeast Asia,Postgraduate,Self-employed,20,49276,133776,6,23.4,Education,437,4,2,Good,No,0.226,0
100061,23,Male,Sub-Saharan Africa,Postgraduate,Farmer,2,18931,77731,6,18.06,Business,705,0,0,Poor,No,0.342,0
100062,40,Female,Sub-Saharan Africa,Secondary,Salaried,29,18416,10781,18,24.95,Education,497,5,5,Poor,No,0.049,1
100063,26,Male,South Asia,Postgraduate,Salaried,27,11966,22676,6,24.82,Business,364,3,4,Good,Yes,0.158,1
100064,41,Female,Sub-Saharan Africa,Secondary,Small Business,9,29495,126330,18,24.45,Medical,449,1,1,Average,No,0.357,1
100065,31,Female,Sub-Saharan Africa,Postgraduate,Farmer,21,12973,24658,18,22.48,Housing,506,2,3,Good,Yes,0.158,1
100066,47,Female,South Asia,Graduate,Self-employed,10,48944,92187,18,21.88,Housing,597,0,2,Average,No,0.157,0
100067,50,Male,Latin America,Secondary,Self-employed,16,7526,16378,12,14.28,Housing,374,1,4,Good,No,0.181,0
100068,34,Male,South Asia,Postgraduate,Self-employed,7,10401,16364,36,15.89,Housing,484,2,3,Average,No,0.131,0
100069,38,Male,Latin America,Graduate,Self-employed,2,45596,77839,36,18.98,Housing,714,2,1,Good,No,0.142,0
100070,26,Male,Southeast Asia,Postgraduate,Small Business,29,14892,23764,24,18.9,Agriculture,542,3,2,Average,No,0.133,1
100071,64,Female,Sub-Saharan Africa,Secondary,Farmer,21,27038,12280,18,21.74,Education,427,5,5,Average,No,0.038,1
100072,61,Male,Sub-Saharan Africa,Primary,Salaried,8,18584,39765,18,15.75,Business,731,5,4,Poor,No,0.178,0
100073,52,Female,South Asia,Secondary,Small Business,6,34176,10859,6,16.13,Agriculture,531,5,1,Good,No,0.026,1
100074,53,Female,Southeast Asia,Primary,Farmer,19,31676,113833,18,14.07,Medical,525,0,4,Good,No,0.299,1
100075,32,Female,Southeast Asia,Primary,Self-employed,1,11812,143312,6,23.69,Business,374,3,3,Good,No,1.011,1
100076,24,Male,Latin America,Primary,Farmer,3,33527,73371,6,24.05,Medical,310,4,1,Good,No,0.182,0
100077,56,Male,Latin America,Graduate,Salaried,9,12772,110200,36,27.15,Agriculture,453,2,5,Good,No,0.719,1
100078,63,Female,South Asia,Secondary,Salaried,20,6262,17141,18,13.05,Housing,349,4,1,Average,Yes,0.228,0
100079,31,Female,Southeast Asia,Postgraduate,Salaried,22,8223,56680,6,17.52,Housing,307,5,1,Good,Yes,0.574,1
100080,56,Female,Sub-Saharan Africa,Graduate,Small Business,6,9820,114822,18,20.27,Medical,840,0,2,Poor,No,0.974,1
100081,35,Male,Latin America,Postgraduate,Small Business,12,13758,101014,6,26.66,Education,363,2,0,Good,Yes,0.612,1
100082,44,Female,Latin America,Secondary,Small Business,4,40001,50296,12,15.52,Medical,690,2,1,Average,Yes,0.105,1
100083,53,Female,Latin America,Secondary,Farmer,13,49181,27861,24,25.59,Medical,554,3,3,Average,No,0.047,0
100084,48,Male,South Asia,Graduate,Salaried,7,23083,13974,36,26.68,Business,307,0,0,Good,No,0.05,0
100085,60,Male,South Asia,Secondary,Salaried,18,44702,52095,12,24.31,Business,350,2,2,Good,No,0.097,1
100086,24,Male,Southeast Asia,Postgraduate,Small Business,11,7530,82319,36,13.57,Business,846,4,5,Good,Yes,0.911,1
100087,32,Female,Sub-Saharan Africa,Primary,Small Business,8,12570,46565,36,25.84,Medical,414,2,0,Good,No,0.309,0
100088,36,Male,South Asia,Postgraduate,Farmer,16,31148,134710,36,25.41,Education,412,1,5,Good,No,0.36,1
100089,32,Male,Southeast Asia,Primary,Small Business,17,41372,103018,36,16.36,Agriculture,643,3,1,Average,No,0.208,0
100090,41,Male,Latin America,Secondary,Farmer,25,37107,52296,36,20.76,Medical,492,3,5,Good,No,0.117,0
100091,46,Male,Latin America,Postgraduate,Small Business,8,28270,66220,12,25.75,Agriculture,848,0,5,Good,No,0.195,0
100092,29,Female,Sub-Saharan Africa,Secondary,Self-employed,16,41902,100844,36,14.08,Medical,554,3,0,Average,No,0.201,0
100093,40,Female,South Asia,Primary,Farmer,9,9768,56696,6,22.34,Medical,574,3,3,Good,Yes,0.484,0
100094,41,Male,South Asia,Graduate,Small Business,2,15869,80091,12,20.38,Business,467,4,0,Average,Yes,0.421,0
100095,62,Male,South Asia,Secondary,Self-employed,26,26326,52649,36,19.43,Agriculture,667,3,2,Average,No,0.167,1
100096,25,Male,South Asia,Secondary,Farmer,17,11555,55707,24,13.04,Business,315,1,1,Average,Yes,0.402,0
100097,31,Female,Sub-Saharan Africa,Graduate,Salaried,6,23643,90199,18,22.15,Business,566,0,3,Good,Yes,0.318,0
100098,25,Female,Latin America,Postgraduate,Salaried,10,48574,104208,12,16.83,Business,594,2,3,Good,No,0.179,1
100099,36,Male,Sub-Saharan Africa,Secondary,Small Business,23,46533,62928,6,24.7,Housing,841,3,4,Average,Yes,0.113,1
100100,32,Male,Sub-Saharan Africa,Postgraduate,Salaried,27,21476,128615,6,27.98,Education,368,1,2,Poor,Yes,0.499,1
100101,57,Female,Latin America,Primary,Salaried,16,15407,70572,24,25.0,Agriculture,565,3,5,Good,Yes,0.382,0
100102,54,Female,Sub-Saharan Africa,Graduate,Farmer,15,22446,9674,18,15.08,Business,756,5,4,Good,Yes,0.036,1
100103,42,Male,Sub-Saharan Africa,Graduate,Salaried,10,20811,144005,18,17.12,Business,787,0,1,Average,No,0.577,0
100104,35,Female,Latin America,Graduate,Self-employed,20,48204,83175,36,25.88,Business,443,2,4,Average,Yes,0.144,1
100105,52,Female,Latin America,Graduate,Small Business,14,35934,27168,18,12.99,Agriculture,760,5,2,Average,No,0.063,0
100106,53,Female,Southeast Asia,Graduate,Farmer,21,13097,9415,12,14.36,Medical,379,5,1,Poor,No,0.06,1
100107,55,Female,South Asia,Graduate,Small Business,22,7438,55135,18,25.15,Education,509,1,4,Good,Yes,0.618,0
100108,24,Female,Southeast Asia,Primary,Salaried,28,20068,108761,36,12.05,Housing,784,4,1,Good,Yes,0.452,0
100109,36,Female,Southeast Asia,Primary,Self-employed,25,31160,66712,6,17.35,Education,370,4,5,Good,No,0.178,1
100110,30,Female,Latin America,Postgraduate,Farmer,12,14188,103795,18,24.47,Business,347,4,0,Good,No,0.61,1
100111,63,Male,Latin America,Secondary,Self-employed,13,23615,126986,36,13.49,Education,449,3,0,Average,Yes,0.448,0
100112,53,Female,South Asia,Postgraduate,Salaried,17,34763,69579,36,18.9,Housing,568,2,0,Good,Yes,0.167,1
100113,32,Male,Sub-Saharan Africa,Graduate,Small Business,14,44807,25025,24,20.04,Medical,619,4,2,Good,Yes,0.047,0
100114,35,Female,South Asia,Secondary,Self-employed,18,11116,66610,18,21.94,Medical,741,3,2,Average,Yes,0.499,0
100115,51,Female,South Asia,Graduate,Self-employed,28,21468,137242,6,23.02,Education,342,2,2,Good,Yes,0.533,1
100116,55,Female,Southeast Asia,Postgraduate,Farmer,29,38671,15782,36,14.16,Agriculture,415,2,5,Poor,No,0.034,1
100117,43,Female,South Asia,Primary,Farmer,8,43357,112893,18,17.46,Education,667,0,4,Average,Yes,0.217,0
100118,52,Male,Southeast Asia,Graduate,Small Business,15,7225,64586,12,13.1,Medical,460,2,3,Average,No,0.745,1
100119,45,Male,Southeast Asia,Graduate,Self-employed,22,32747,107116,12,27.06,Agriculture,475,4,5,Good,Yes,0.273,1
100120,25,Male,Latin America,Postgraduate,Self-employed,1,14009,98534,6,19.7,Business,408,0,0,Average,No,0.586,1
100121,61,Male,Sub-Saharan Africa,Postgraduate,Farmer,12,31860,149161,12,17.19,Agriculture,728,1,1,Average,Yes,0.39,1
100122,34,Female,Latin America,Primary,Salaried,28,27086,80327,36,25.59,Housing,594,4,2,Good,Yes,0.247,1
100123,51,Male,Latin America,Primary,Farmer,5,18125,124720,24,22.16,Education,693,1,5,Good,Yes,0.573,0
100124,34,Male,Southeast Asia,Postgraduate,Small Business,26,21587,68559,36,19.16,Agriculture,378,4,5,Average,No,0.265,1
100125,62,Male,Latin America,Primary,Salaried,17,37451,14626,12,21.5,Business,811,5,1,Good,No,0.033,0
100126,34,Female,Latin America,Postgraduate,Self-employed,22,42288,127132,24,25.8,Education,489,1,3,Good,No,0.251,0
100127,26,Male,Sub-Saharan Africa,Primary,Self-employed,0,9351,41188,18,23.03,Education,697,1,3,Good,No,0.367,0
100128,45,Female,Southeast Asia,Graduate,Farmer,24,45199,86887,36,25.54,Business,812,4,1,Good,Yes,0.16,0
100129,64,Female,Latin America,Graduate,Salaried,29,19484,100993,6,17.86,Housing,465,3,2,Good,No,0.432,0
100130,48,Female,Southeast Asia,Postgraduate,Salaried,23,46198,7099,6,22.12,Education,496,4,2,Good,No,0.013,0
100131,37,Female,Sub-Saharan Africa,Graduate,Self-employed,19,46980,146732,24,13.64,Education,838,0,2,Poor,No,0.26,0
100132,24,Female,Sub-Saharan Africa,Secondary,Salaried,12,46141,101108,12,14.67,Agriculture,679,4,5,Average,No,0.183,1
100133,48,Male,Latin America,Primary,Self-employed,9,41336,64986,24,18.38,Business,515,0,3,Average,No,0.131,1
100134,27,Male,South Asia,Primary,Salaried,11,37406,66232,12,27.15,Medical,761,3,0,Good,No,0.148,1
100135,62,Female,South Asia,Graduate,Small Business,24,12592,30502,6,25.46,Medical,424,4,0,Average,No,0.202,0
100136,26,Female,Southeast Asia,Graduate,Salaried,24,39950,65480,12,17.06,Medical,562,0,3,Average,No,0.137,0
100137,62,Male,Latin America,Graduate,Farmer,25,33746,146434,12,13.22,Agriculture,666,1,0,Average,No,0.362,0
100138,57,Male,South Asia,Primary,Farmer,16,44442,139070,12,15.78,Business,786,1,4,Average,Yes,0.261,0
100139,63,Female,Sub-Saharan Africa,Primary,Salaried,1,35648,83299,24,15.34,Medical,417,0,1,Average,No,0.195,0
100140,49,Female,Southeast Asia,Graduate,Farmer,18,40626,62247,18,12.55,Education,348,1,4,Average,Yes,0.128,1
100141,48,Female,Sub-Saharan Africa,Secondary,Farmer,7,17958,123860,36,24.93,Business,790,4,1,Good,No,0.575,0
100142,39,Female,Latin America,Primary,Small Business,27,17970,65709,36,25.65,Agriculture,771,1,5,Average,No,0.305,0
100143,34,Female,Latin America,Secondary,Small Business,1,26600,75286,36,18.04,Agriculture,503,5,4,Good,No,0.236,0
100144,33,Female,Sub-Saharan Africa,Primary,Self-employed,3,13969,11524,36,14.34,Housing,740,4,2,Good,No,0.069,0
100145,49,Male,Sub-Saharan Africa,Graduate,Salaried,12,42650,26987,12,13.74,Agriculture,320,5,4,Average,No,0.053,0
100146,55,Male,South Asia,Graduate,Salaried,4,16281,55605,36,14.11,Medical,367,5,1,Good,No,0.285,0
100147,61,Male,Latin America,Postgraduate,Salaried,15,30504,134321,12,14.06,Housing,447,0,5,Good,No,0.367,0
100148,22,Female,Southeast Asia,Postgraduate,Small Business,5,24033,36380,18,12.91,Business,424,4,5,Average,Yes,0.126,0
100149,22,Male,Latin America,Secondary,Small Business,8,48025,31411,18,26.95,Housing,312,5,5,Poor,No,0.055,1
100150,46,Female,South Asia,Postgraduate,Farmer,15,27738,89466,24,16.13,Education,413,1,1,Average,No,0.269,0
100151,21,Female,South Asia,Postgraduate,Self-employed,5,45276,14594,36,13.75,Agriculture,413,4,3,Average,No,0.027,0
100152,48,Male,South Asia,Primary,Farmer,15,29061,30992,18,23.67,Agriculture,712,2,5,Good,Yes,0.089,0
100153,57,Female,Sub-Saharan Africa,Primary,Farmer,22,41824,82550,36,26.53,Agriculture,469,2,5,Good,No,0.164,0
100154,54,Female,Latin America,Secondary,Salaried,25,8582,131854,18,24.85,Medical,583,4,1,Average,Yes,1.28,0
100155,44,Male,Southeast Asia,Graduate,Salaried,7,21557,44613,18,25.65,Business,518,4,2,Good,Yes,0.172,0
100156,49,Female,Southeast Asia,Primary,Small Business,15,19767,116721,6,20.76,Business,696,2,1,Good,No,0.492,0
100157,48,Female,South Asia,Secondary,Salaried,2,19496,91999,6,18.88,Medical,619,5,1,Poor,Yes,0.393,0
100158,54,Male,Sub-Saharan Africa,Postgraduate,Self-employed,6,24182,116635,18,24.2,Housing,708,2,0,Good,No,0.402,0
100159,53,Male,Sub-Saharan Africa,Postgraduate,Self-employed,0,18419,127257,12,26.7,Agriculture,735,3,2,Poor,Yes,0.576,1
100160,58,Male,South Asia,Graduate,Small Business,25,34984,23327,36,14.81,Business,378,0,4,Poor,No,0.056,1
100161,54,Female,Latin America,Graduate,Farmer,28,35923,8943,6,13.06,Education,500,5,5,Average,No,0.021,0
100162,25,Male,Southeast Asia,Graduate,Farmer,8,44956,46552,18,18.31,Business,341,0,0,Good,No,0.086,1
100163,50,Female,Latin America,Graduate,Salaried,3,37236,97657,6,20.64,Business,365,5,1,Average,Yes,0.219,0
100164,42,Male,Southeast Asia,Primary,Small Business,19,7480,22800,6,16.83,Medical,572,1,0,Good,No,0.254,0
100165,23,Male,Sub-Saharan Africa,Primary,Self-employed,28,7382,145837,18,22.19,Agriculture,435,4,0,Good,Yes,1.646,1
100166,49,Female,South Asia,Secondary,Self-employed,16,12209,74821,36,12.07,Agriculture,784,0,1,Average,Yes,0.511,0
100167,51,Female,South Asia,Postgraduate,Small Business,7,49093,20903,18,12.88,Business,464,2,2,Average,Yes,0.035,0
100168,50,Female,Latin America,Postgraduate,Farmer,24,27341,89484,36,24.74,Education,553,4,1,Good,No,0.273,0
100169,49,Female,Latin America,Primary,Small Business,20,37417,31422,24,15.24,Medical,551,5,0,Average,Yes,0.07,1
100170,51,Female,Southeast Asia,Secondary,Self-employed,12,24948,123772,12,25.74,Education,603,3,2,Poor,Yes,0.413,0
100171,44,Female,South Asia,Secondary,Self-employed,7,12748,80690,24,27.82,Business,643,3,2,Good,No,0.527,0
100172,61,Female,Sub-Saharan Africa,Primary,Self-employed,19,47285,78279,36,23.73,Agriculture,707,1,2,Average,No,0.138,0
100173,43,Male,Sub-Saharan Africa,Postgraduate,Self-employed,19,46565,65053,36,25.35,Agriculture,550,1,5,Poor,Yes,0.116,1
100174,58,Male,Southeast Asia,Graduate,Small Business,1,19695,39075,6,19.5,Medical,338,1,2,Good,No,0.165,1
100175,54,Female,Latin America,Graduate,Farmer,24,49507,24630,12,16.99,Agriculture,363,5,1,Good,No,0.041,0
100176,44,Male,Southeast Asia,Primary,Small Business,9,26284,32578,6,22.33,Housing,432,4,5,Good,Yes,0.103,0
100177,45,Male,Latin America,Primary,Small Business,26,27953,125971,36,14.71,Education,680,4,2,Poor,Yes,0.376,0
100178,22,Female,South Asia,Graduate,Farmer,19,23893,145996,18,14.97,Agriculture,536,2,2,Good,No,0.509,1
100179,26,Female,South Asia,Primary,Self-employed,11,21657,77021,12,24.02,Housing,651,3,0,Average,No,0.296,1
100180,61,Male,Latin America,Secondary,Salaried,14,41092,94081,12,14.79,Medical,321,0,4,Good,No,0.191,0
100181,52,Male,Sub-Saharan Africa,Primary,Farmer,26,25045,71826,24,27.82,Agriculture,432,4,1,Average,No,0.239,1
100182,64,Male,Sub-Saharan Africa,Secondary,Self-employed,22,21167,62869,24,24.08,Business,774,2,5,Average,No,0.248,0
100183,33,Male,Sub-Saharan Africa,Graduate,Self-employed,13,47268,111126,24,26.62,Agriculture,749,3,4,Average,Yes,0.196,0
100184,36,Male,Latin America,Primary,Small Business,27,25755,43075,6,19.76,Housing,677,2,0,Good,No,0.139,0
100185,46,Male,Sub-Saharan Africa,Postgraduate,Farmer,4,35274,59371,12,20.09,Education,575,0,2,Average,No,0.14,1
100186,30,Female,Latin America,Graduate,Small Business,14,19711,123769,36,25.18,Business,776,2,1,Good,No,0.523,0
100187,24,Female,Sub-Saharan Africa,Primary,Farmer,5,42612,27504,6,20.82,Business,667,2,2,Poor,No,0.054,0
100188,34,Male,Latin America,Primary,Salaried,12,40231,83336,24,12.48,Business,698,1,4,Average,No,0.173,1
100189,44,Male,South Asia,Graduate,Farmer,15,12956,119152,6,18.58,Business,384,0,0,Good,No,0.766,1
100190,58,Female,Southeast Asia,Postgraduate,Salaried,1,43595,124321,12,22.93,Education,557,4,2,Good,Yes,0.238,0
100191,57,Female,Sub-Saharan Africa,Secondary,Small Business,24,38493,99835,12,16.68,Medical,676,0,0,Good,No,0.216,0
100192,59,Male,Southeast Asia,Secondary,Farmer,4,29295,61665,24,12.49,Education,339,1,0,Average,Yes,0.175,1
100193,43,Female,Sub-Saharan Africa,Primary,Farmer,28,13438,138368,6,22.69,Medical,798,5,4,Good,No,0.858,1
100194,31,Female,South Asia,Secondary,Salaried,7,11198,73016,12,24.85,Agriculture,596,3,5,Poor,No,0.543,1
100195,28,Female,Sub-Saharan Africa,Secondary,Salaried,9,11052,61243,18,17.67,Medical,813,0,1,Good,No,0.462,0
100196,26,Male,South Asia,Secondary,Farmer,26,6984,47294,36,15.47,Education,432,3,1,Poor,Yes,0.564,1
100197,54,Male,South Asia,Secondary,Farmer,5,21468,146521,6,27.31,Business,472,2,0,Average,No,0.569,1
100198,57,Male,Latin America,Postgraduate,Salaried,18,26578,84329,12,21.49,Agriculture,663,4,3,Poor,Yes,0.264,1
100199,53,Male,Latin America,Postgraduate,Farmer,20,46874,134163,24,13.79,Housing,795,4,5,Good,No,0.239,1
100200,30,Female,South Asia,Secondary,Small Business,20,16121,121730,18,18.54,Business,344,3,3,Average,No,0.629,1
100201,56,Male,Latin America,Postgraduate,Farmer,16,32679,113026,36,19.06,Housing,499,5,5,Poor,Yes,0.288,1
100202,27,Male,South Asia,Secondary,Farmer,20,24397,145822,6,18.48,Medical,705,5,4,Good,No,0.498,0
100203,37,Female,Latin America,Secondary,Small Business,6,31571,13463,18,13.98,Business,695,0,3,Poor,No,0.036,0
100204,40,Male,Latin America,Postgraduate,Small Business,15,48104,134426,36,26.87,Housing,549,0,3,Good,Yes,0.233,0
100205,48,Male,Sub-Saharan Africa,Primary,Small Business,3,25361,16788,6,26.32,Housing,470,3,1,Good,No,0.055,0
100206,44,Male,Sub-Saharan Africa,Secondary,Salaried,18,9753,100408,36,25.74,Education,317,4,0,Good,Yes,0.858,1
100207,58,Male,Sub-Saharan Africa,Graduate,Farmer,16,8298,28690,6,25.03,Business,306,2,3,Good,Yes,0.288,1
100208,29,Female,Southeast Asia,Primary,Small Business,29,35727,98097,18,20.92,Business,378,4,2,Good,Yes,0.229,0
100209,50,Male,Latin America,Secondary,Farmer,21,32747,146199,36,21.64,Education,579,3,1,Average,Yes,0.372,0
100210,59,Male,Southeast Asia,Secondary,Self-employed,18,9657,116295,6,24.61,Education,810,3,4,Good,Yes,1.004,0
100211,56,Female,Southeast Asia,Secondary,Farmer,16,40160,89210,12,15.39,Medical,785,4,4,Good,Yes,0.185,0
100212,37,Male,Southeast Asia,Secondary,Small Business,20,47079,126207,12,19.43,Medical,314,3,5,Good,No,0.223,0
100213,36,Male,Sub-Saharan Africa,Graduate,Small Business,4,27927,19288,18,18.09,Education,706,5,2,Good,No,0.058,0
100214,54,Male,Sub-Saharan Africa,Secondary,Small Business,29,24108,21284,24,20.25,Housing,584,3,1,Poor,Yes,0.074,0
100215,63,Female,Southeast Asia,Graduate,Small Business,10,48246,72806,18,19.33,Agriculture,524,3,4,Average,No,0.126,0
100216,27,Female,Latin America,Secondary,Self-employed,15,12042,119963,36,15.64,Housing,515,5,0,Good,No,0.83,0
100217,47,Male,Sub-Saharan Africa,Primary,Salaried,9,7335,97431,24,26.11,Housing,339,4,4,Average,Yes,1.107,1
100218,27,Male,Sub-Saharan Africa,Graduate,Self-employed,18,26672,141728,12,20.64,Education,450,0,3,Good,No,0.443,0
100219,52,Male,Latin America,Primary,Small Business,0,49459,8935,12,24.69,Housing,385,3,2,Poor,No,0.015,1
100220,36,Female,South Asia,Primary,Small Business,1,41192,65964,18,16.48,Medical,309,4,3,Average,Yes,0.133,0
100221,39,Male,Latin America,Primary,Salaried,21,45034,114748,18,23.11,Business,708,0,2,Poor,Yes,0.212,0
